,max_len
IDIGIO_FSR,10.01449981817334
core_FEFDEB_manual,11.719044069432174
gmof_Zn4O13-BDC_A-irmof20_A_No334,9.180564719231237
GUQNAI_FSR,6.123843717295823
CABJEX_FSR,7.168512864594645
boydwoo_str_m3_o13_o19_pcu_sym_27,9.845407360326359
gmof_Zn4O13-BDC_A-irmof20_A_No581,9.24840697301501
gmof_Zn2O8N2-DPAC_A-irmof7_A_No835,14.209386994711208
gmof_Zn2O8N2-AZO_A-irmof14_A_No287,11.667793378396036
boydwoo_str_m3_o3_o8_pcu_sym_18,15.916547151330613
MOF-5_cooh_2_120_2,7.321316306267904
boydwoo_str_m3_o3_o4_pcu_sym_218,15.861098680828535
boydwoo_str_m5_Al_o3_o27_sra_sym_35,15.987963146844741
BOYBUO_FSR,5.762980845250717
HUCXOU_FSR,13.989593320290249
KUHDEX_FSR,3.322720507194184
LODPOL_FSR,11.92976986645317
boydwoo_str_m3_o11_o25_pcu_sym_76,12.473214921714034
core_REFTON_SL,7.429247557643724
boydwoo_str_m3_o16_o17_pcu_sym_46,11.661049161012542
gmof_Zn4O13-BDC_A-irmof20_A_No617,9.192775998491031
gmof_Al2O6-irmof20_B-irmof7_B_No305,9.178062266084362
LACFOM_FSR,11.170770836332265
LETWAI_FSR,4.912705789276816
gmof_Zn2O8N2-irmof16_A-irmof20_A_No236,13.032251932100118
boydwoo_str_m3_o2_o14_pcu_sym_151,11.71904363043895
boydwoo_str_m7_Zn_o11_o11_bcu_sym_114,10.698162858805375
gmof_Al2O6-DPAC_B-irmof10_B_No79,14.2669924989401
gmof_Zn4O13-irmof14_A-irmof16_A_No35,15.930796593540888
gmof_Zn2O8N2-ADC_A-irmof20_A_No689,14.189738963075069
