,pld,lcd
fromja500530ysi003.res,ifs/fromja500530ysi003.res    4.82412 3.55524  4.82412,ifs/fromja500530ysi003.res    4.82412 3.55524  4.82412
ONLYinitialfor2949420.res,ifs/ONLYinitialfor2949420.res    5.48030 4.28425  5.46261,ifs/ONLYinitialfor2949420.res    5.48030 4.28425  5.46261
frompart2.res,ifs/frompart2.res    28.46977 25.67396  27.86909,ifs/frompart2.res    28.46977 25.67396  27.86909
part3.res,ifs/part3.res    33.00562 30.89155  33.00562,ifs/part3.res    33.00562 30.89155  33.00562
fromFebdp25C1058446.res,ifs/fromFebdp25C1058446.res    2.66813 2.24053  2.66813,ifs/fromFebdp25C1058446.res    2.66813 2.24053  2.66813
fromSION21503701.res,ifs/fromSION21503701.res    2.92080 1.19042  2.89943,ifs/fromSION21503701.res    2.92080 1.19042  2.89943
toDUT49Co100K2014974.res,ifs/toDUT49Co100K2014974.res    20.67741 11.69322  20.67646,ifs/toDUT49Co100K2014974.res    20.67741 11.69322  20.67646
toDMFsolvatedFebdp298K1058448.res,ifs/toDMFsolvatedFebdp298K1058448.res    9.80277 9.40018  9.80277,ifs/toDMFsolvatedFebdp298K1058448.res    9.80277 9.40018  9.80277
toNOTT3001GPashear.res,ifs/toNOTT3001GPashear.res    9.43612 7.36895  9.22864,ifs/toNOTT3001GPashear.res    9.43612 7.36895  9.22864
to1934735.res,ifs/to1934735.res    3.44978 1.54256  3.44978,ifs/to1934735.res    3.44978 1.54256  3.44978
fromHyFe360K1506140.res,ifs/fromHyFe360K1506140.res    1.86584 0.89541  1.84444,ifs/fromHyFe360K1506140.res    1.86584 0.89541  1.84444
fromHyFe290K1506139.res,ifs/fromHyFe290K1506139.res    1.90366 0.97867  1.89696,ifs/fromHyFe290K1506139.res    1.90366 0.97867  1.89696
to1npMOF1944822.res,ifs/to1npMOF1944822.res    2.89514 1.28738  2.89514,ifs/to1npMOF1944822.res    2.89514 1.28738  2.89514
toja500530ysi003.res,ifs/toja500530ysi003.res    3.63436 1.89149  3.63436,ifs/toja500530ysi003.res    3.63436 1.89149  3.63436
from4in61536823.res,ifs/from4in61536823.res    7.60527 5.46561  7.60091,ifs/from4in61536823.res    7.60527 5.46561  7.60091
toFdd21021920.res,ifs/toFdd21021920.res    2.53255 0.80410  2.53252,ifs/toFdd21021920.res    2.53255 0.80410  2.53252
initialsMOFs1961204.res,ifs/initialsMOFs1961204.res    4.94759 2.96357  4.94759,ifs/initialsMOFs1961204.res    4.94759 2.96357  4.94759
2from91045135.res,ifs/2from91045135.res    1.97272 1.11488  1.84860,ifs/2from91045135.res    1.97272 1.11488  1.84860
to1b.res,ifs/to1b.res    3.02459 1.54588  3.02459,ifs/to1b.res    3.02459 1.54588  3.02459
from2007086.res,ifs/from2007086.res    7.68404 7.37447  7.68404,ifs/from2007086.res    7.68404 7.37447  7.68404
toDUT30Znafterphasetransition804771.res,ifs/toDUT30Znafterphasetransition804771.res    6.35133 5.11421  6.34702,ifs/toDUT30Znafterphasetransition804771.res    6.35133 5.11421  6.34702
to41483725.res,ifs/to41483725.res    2.75666 2.30381  2.75425,ifs/to41483725.res    2.75666 2.30381  2.75425
fromMOF2fa1052168.res,ifs/fromMOF2fa1052168.res    5.50894 4.61176  5.50894,ifs/fromMOF2fa1052168.res    5.50894 4.61176  5.50894
todflexMOFdried975745.res,ifs/todflexMOFdried975745.res    4.60262 1.36988  4.60262,ifs/todflexMOFdried975745.res    4.60262 1.36988  4.60262
toSTA26ZrCchangedsymmetry1571656.res,ifs/toSTA26ZrCchangedsymmetry1571656.res    13.09072 4.43254  6.75690,ifs/toSTA26ZrCchangedsymmetry1571656.res    13.09072 4.43254  6.75690
to23toTHFsolvated1977804.res,ifs/to23toTHFsolvated1977804.res    6.20271 4.50033  6.13409,ifs/to23toTHFsolvated1977804.res    6.20271 4.50033  6.13409
fromNOTT3000GPa.res,ifs/fromNOTT3000GPa.res    15.06437 13.18106  14.96569,ifs/fromNOTT3000GPa.res    15.06437 13.18106  14.96569
fromDUT49Cd296K1957602.res,ifs/fromDUT49Cd296K1957602.res    20.04293 13.21809  20.04293,ifs/fromDUT49Cd296K1957602.res    20.04293 13.21809  20.04293
initialZn1238860.res,ifs/initialZn1238860.res    9.47830 7.63411  9.42074,ifs/initialZn1238860.res    9.47830 7.63411  9.42074
1from61055570.res,ifs/1from61055570.res    2.25608 1.36996  2.19014,ifs/1from61055570.res    2.25608 1.36996  2.19014
1initial924307.res,ifs/1initial924307.res    4.77527 3.77412  4.77527,ifs/1initial924307.res    4.77527 3.77412  4.77527
fromasflexMOF975746.res,ifs/fromasflexMOF975746.res    6.15637 4.38724  6.15359,ifs/fromasflexMOF975746.res    6.15637 4.38724  6.15359
fromic035111osi002.res,ifs/fromic035111osi002.res    4.93958 3.79300  4.70830,ifs/fromic035111osi002.res    4.93958 3.79300  4.70830
toja054913asi004.res,ifs/toja054913asi004.res    2.22705 2.02895  2.21752,ifs/toja054913asi004.res    2.22705 2.02895  2.21752
toCAU131GPa.res,ifs/toCAU131GPa.res    5.53591 5.03476  5.53591,ifs/toCAU131GPa.res    5.53591 5.03476  5.53591
INITIALanie202202073sup0001nku128298k.res,ifs/INITIALanie202202073sup0001nku128298k.res    7.44533 5.78828  7.42973,ifs/INITIALanie202202073sup0001nku128298k.res    7.44533 5.78828  7.42973
2in5636901.res,ifs/2in5636901.res    4.29565 3.11565  4.28073,ifs/2in5636901.res    4.29565 3.11565  4.28073
fromCoMOF1912199.res,ifs/fromCoMOF1912199.res    10.03279 9.41120  10.03279,ifs/fromCoMOF1912199.res    10.03279 9.41120  10.03279
1b40barR.res,ifs/1b40barR.res    13.56693 12.62685  13.56693,ifs/1b40barR.res    13.56693 12.62685  13.56693
to6cm6b05277si005Copy.res,ifs/to6cm6b05277si005Copy.res    3.81815 1.55376  3.67940,ifs/to6cm6b05277si005Copy.res    3.81815 1.55376  3.67940
