,T_P proba
boydwoo_str_m7_Zn_o20_o25_bcu_sym_69,0.0
SUNDIP_FSR,0.142519867567374
boydwoo_str_m7_o4_o10_bcu_sym_32,0.0
core_XAXQEU_SL,0.19030221707700118
boydwoo_str_m7_Zn_o25_o25_bcu_sym_12,0.0
BUPGID_FSR,0.0
VEPJEH_FSR,0.0
boydwoo_str_m7_Zn_o1_o9_bcu_sym_164,0.0
gmof_Uio66Zr-irmof20_A-imdb_No6,0.0
core_QOQWOK01_freeONLY,0.19847859510966695
MEQTIO_FSR,0.0
HAKWUM_FSR,0.0
JEXPEI_FSR,0.0
OGAGAH_FSR,0.0
BUSBAT_FSR,0.0
boydwoo_str_m7_Zn_o20_o25_bcu_sym_41,0.0
JECFED_FSR,0.17879271461972185
gmof_Zn4O13-BDC_A-irmof20_A_No448,0.0
boydwoo_str_m7_Zn_o4_o22_bcu_sym_64,0.0
gmof_Al2O6-BDC_B-irmof7_B_No2,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No121,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No136,0.0
DUKYOZ_FSR,0.0
boydwoo_str_m4_Al_o20_o25_acs_sym_277,0.0
tobacco_bor_sym_3_mc_0_sym_4_on_7_L_14,0.0
EZULAO_FSR,0.0
boydwoo_str_m7_Zn_o12_o22_bcu_sym_51,0.0
core_JOHFIW_manual,0.19277715466874007
tobacco_bor_sym_3_mc_0_sym_4_on_7_L_2,0.0
MOLCEW_FSR,0.0
NIGRIH_FSR,0.0
gmof_Zn2O8N2-irmof20_A-irmof6_A_No97,0.0
REZLUF_FSR,0.0
boydwoo_str_m3_o40_o41_fof_sym_106,0.0
boydwoo_str_m3_o4_o25_pcu_sym_101,0.0
CIFGOP_FSR,0.0
CIGYUP_FSR,0.0
boydwoo_str_m7_Zn_o1_o4_bcu_sym_76,0.0
core_LIFWOO_freeONLY,0.0
DEQVEB_FSR,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No57,0.0
EMAMIQ_FSR,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No41,0.0
boydwoo_str_m7_Zn_o4_o10_bcu_sym_92,0.0
boydwoo_str_m7_Zn_o4_o22_bcu_sym_18,0.0
MOXNUJ_FSR,0.0
IXIROY_FSR,0.0
gmof_AlO6-mof177-N_No14,0.0
QIVZEC_FSR,0.0
LOSGIL_FSR,0.0
PAHXIG_FSR,0.0
gmof_Uio66Zr-irmof6_A-irmof7_A_No126,0.0
core_TAYNEN_freeONLY,0.0
LAWLEC_FSR,0.0
ZIQFUD_FSR,0.0
boydwoo_str_m7_o19_o21_bcu_sym_84,0.0
gmof_AlO6-mof177-N_No37,0.0
DAPKEM_FSR,0.0
gmof_Zn2O8N2-BDC_A-DPAC_A_No49,0.15096440087279936
SODXEQ_FSR,0.0
WOHBOL_FSR,0.0
JOBGIS_FSR,0.0
SARMUU_FSR,0.0
NETXUI_FSR,0.0
core_PUQHEP_freeONLY,0.0
NADCUS_FSR,0.0
PETSEO_FSR,0.0
CIGYEY_FSR,0.0
boydwoo_str_m7_o9_o22_bcu_sym_226,0.0
boydwoo_str_m3_o8_o22_pcu_sym_26,0.0
boydwoo_str_m7_Zn_o6_o20_bcu_sym_39,0.0
JOFLAS_FSR,0.0
boydwoo_str_m7_Zn_o1_o11_bcu_sym_16,0.11291389110524075
gmof_Uio66Zr-irmof8_A-imd_No1,0.0
gmof_Uio66Zr-irmof6_A-irmof7_A_No18,0.0
MIHNOH_FSR,0.0
ROBFEW_FSR,0.0
boydwoo_str_m5_Al_o17_o22_sra_sym_3,0.0
MOF-5_cooh_2_1861_1,0.0
gmof_CuN4-SiF6-ADC_No1,0.061197354897744326
core_REHVAD_freeONLY,0.0720687176340882
gmof_Al2O6-irmof16_B-irmof20_B_No367,0.0
FOXYOH_FSR,0.0
HERNEA01_FSR,0.0
boydwoo_str_m7_Zn_o20_o23_bcu_sym_50,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No296,0.0
gmof_Al2O6-irmof16_B-irmof20_B_No90,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No327,0.0
gmof_Al2O6-ADC_B-irmof20_B_No146,0.0
XIMPIU01_FSR,0.0
IBIVOF_FSR,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No506,0.0
QUSVIK_FSR,0.0
gmof_Al2O6-ADC_B-irmof20_B_No336,0.0
gmof_ZnN4-SiF6-irmof20_No2,0.0
core_PIHNUQ_freeONLY,0.0
gmof_AlO6-irmof20_A_No7,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No190,0.0
LAWRUY_FSR,0.15178766123724455
VIWHOA_FSR,0.0
LATRAC_FSR,0.0
