,node,linker,cat,mofkey
cifs/frompart2,['[O][Co][Co][O]'],['O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-]'],3,Co.OPWILJLZIKYBTD.MOFkey-v1
cifs/to3from121974528,['[Cd]'],['CCc1nccn1c1ccc(cc1)C(=O)[O-]'],1,Cd.TUBUQPJTMBSJNS.MOFkey-v1
cifs/initialZn1238860,['[Zn]'],['[C]=O.[O].[O].[O]'],0,Zn.RJFCOCDKIGBUMB.MOFkey-v1
cifs/toFebdp25C50bar1058450,['[Fe]'],"['N1=CC(=C2C[CH]C(=C3C=NN=C3)C=C2)C=N1', 'N1=CC(=C[N]1)C1=C[CH]C(=C2C=NN=C2)C[CH]1']",0,Fe.SKRDFPKCNNNTRG.MOFkey-v1
cifs/to1555242,"['[O][Fe]123[O]456[Fe]789%10[O]%11%121[Fe]14([O]427[Fe]275%11[O]381[Fe]6%124(O2)O7)(O9)O%10', '[O][Fe]1[O]23[Fe]([O]41[Fe]12O[Fe]34O1)[O]', '[O][Fe][O]([Fe][O])[Fe][O]']",['[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]'],0,Fe.MXBBZODCMBYDCL.MOFkey-v1
cifs/toMOF74Zn1512654,['[Zn]'],['[O-]C(=O)C1=[C]C(=C([C]=C1[O])C(=O)[O-])[O]'],0,Zn.KVMHTKWNPHTPQD.MOFkey-v1
cifs/tochiralHyMn100K1506145,['[Mn]'],['[O-]C=O'],0,Mn.BDAGIHXWWSANSR.MOFkey-v1
cifs/14MnMOF1MeOH1977797,['*'],[],,
cifs/toDUT49Fe100K2014975,['[O][Fe][Fe][O]'],['[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0,Fe.VENUPVZYXSHACQ.MOFkey-v1
cifs/toja054913asi002,"['Cl[Ag]', 'O1OOO1', '[Ag]']","['[C]1=N[N][C]=N1', '[N]1[C]=NN=[C]1']",7,Ag.HPSLFUDXWSWXGC.MOFkey-v1
cifs/fromDUT49Cd296K1957602,['[O][Cd][Cd][O]'],"['[O-]C(=O)C1=CC2=c3cc(ccc3=N[C]2C=C1)C(=O)[O-]', '[O-]C(=O)C1=CC=C2C(=c3cc(ccc3=N2)C(=O)[O-])[CH]1']",3,Cd.OVZFQCSDINBALY.MOFkey-v1
cifs/from1934734,['[Zn]'],['[O-]C(=O)c1ccc(cc1)C=Cc1ccncc1'],0,Zn.NUMRJFUDFISUFQ.MOFkey-v1
cifs/Febdp25C40bar1058449,['[Fe]'],"['[C]1C=NN=C1', '[N]1C=[C]C=N1']",1,Fe.HIGQXVYJHLMSFU.MOFkey-v1
cifs/part1,['[O][Co][Co][O]'],['O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-]'],3,Co.OPWILJLZIKYBTD.MOFkey-v1
cifs/part5,"['[Co][Co]', '[O][Co][Co]']",['O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-]'],3,Co.OPWILJLZIKYBTD.MOFkey-v1
cifs/from1withDMF1403842,"['[Zn]12[O]3456[Zn]7[O]89%101[Zn]3[O]27([Zn]48)([Zn]59)[Zn]6%10', '[Zn][O]([Zn])([Zn])[Zn]']",['CN(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],1,Zn.KKUNFVGQMDWOJV.MOFkey-v1
cifs/part3,['[Co][Co]'],['O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-]'],3,Co.OPWILJLZIKYBTD.MOFkey-v1
cifs/to2fa1052169,['[Co][Co]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],0,Co.RXOHFPCZGPKIRD.MOFkey-v1
cifs/to3UPC6021942057,"['[Ba]', '[OH2][Ba]']",['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],0,Ba.RYFYCPDCRKHALS.MOFkey-v1
cifs/fromCoMOF1912199,['[Co][Co]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],0,Co.RXOHFPCZGPKIRD.MOFkey-v1
cifs/to922086,"['[OH3][Zn][O]([Zn])([Zn])[Zn]', '[Zn][O]([Zn])([Zn])[Zn]']",['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]'],0,Zn.FQBOIKZICWAJBY.MOFkey-v1
cifs/to41483725,['[Cu]'],"['[O-]C(=O)CCc1ccc(cc1)CCC(=O)[O-]', 'n1ccc(cc1)Sc1ccncc1']",0,Cu.DFOCUWFSRVQSNI.XGJOFCCBFCHEHK.MOFkey-v1
cifs/toFdd21021920,['[Sc]'],"['[O-]C(=O)c1cc(N(=O)=O)c(cc1N(=O)=O)C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1[N+]([O-])OO[N+]2[O-])C(=O)[O-]']",0,Sc.MUFZXBPNVPXWAV.UBXUHAVPTRJHKM.MOFkey-v1
cifs/toanie202202073sup0001nku128toluene,['[Zn][Zn]'],"['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'c1ccc(cn1)c1ccc(cc1)N(c1ccc(cc1)c1cccnc1)c1ccc(cc1)c1cccnc1']",1,Zn.RXOHFPCZGPKIRD.XEUWYASFJPMQJQ.MOFkey-v1
cifs/toanie202202073sup0001nku128thf,['[Zn][Zn]'],"['[CH]=[C]c1ccc(cc1)N(c1ccc(cc1)c1cccnc1)c1ccc(cc1)c1cccnc1', '[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'c1ccc(cn1)c1ccc(cc1)N(c1ccc(cc1)c1cccnc1)c1ccc(cc1)c1cccnc1']",1,Zn.NOZKTGAZMRYFSP.RXOHFPCZGPKIRD.XEUWYASFJPMQJQ.MOFkey-v1
cifs/initialZIF4VEJYUF602538,['[Zn]'],"['C1=C[N]C=N1', 'C1=NC2C([N]1)[CH][CH]2', 'C1=N[CH]C=N1']",0,Zn.AODALHUPEBREOC.IFZCJZZJNFOMPE.MOFkey-v1
cifs/fromNOTT3000GPa,"['[Al]', '[OH]']",['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],0,Al.QURGMSIQFRADOZ.MOFkey-v1
cifs/to1lpMOF1944821,['[Zn][Zn]'],"['[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]', 'n1ccc(cc1)CCc1ccncc1']",1,Zn.ABMFBCRYHDZLRD.DQRKTVIJNCVZAX.MOFkey-v1
cifs/130Ksamespacegr1970080,['[Fe]'],['n1ccc(cc1)C=Cc1ccncc1'],1,Fe.MGFJDEHFNMWYBD.MOFkey-v1
cifs/to195KsameSG1970081,['[Fe]'],['n1ccc(cc1)C=Cc1ccncc1'],1,Fe.MGFJDEHFNMWYBD.MOFkey-v1
cifs/to1041924,['[OH2][Cd]'],['[O-]C(=O)c1ccc(cc1)n1cncc1'],1,Cd.LFIDZIWWYNTQOQ.MOFkey-v1
cifs/asflexMOFAN1420188,['[Ni]'],['[O-]C(=O)c1ccc(cc1c1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0,Ni.BPFVHHLYBQRNKE.MOFkey-v1
cifs/fromDUT49Fe296K1957603,['[O][Fe][Fe][O]'],"['[O-]C(=O)C1=CC2=c3cc(ccc3=N[C]2C=C1)C(=O)[O-]', '[O-]C(=O)C1=CC=C2C(=c3cc(ccc3=N2)C(=O)[O-])[CH]1']",3,Fe.OVZFQCSDINBALY.MOFkey-v1
cifs/part7,['[O][Co][Co]'],['O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-]'],3,Co.OPWILJLZIKYBTD.MOFkey-v1
cifs/fromic035111osi002,['[Co]'],"['CC(=Cc1ccncc1)c1ccncc1', 'n1ccc(cc1)C=[C]c1ccncc1']",3,Co.VSEVYZIPFLZJRE.YANIKTAVLMOMSB.MOFkey-v1
cifs/fromHIMS741884101,['[Zn]'],['[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]'],0,Zn.YXUXCIBWQAOXRL.MOFkey-v1
cifs/fromVMOP1878068,['[O][V]'],"['[C][O]', '[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-]', '[O]S(=O)(=O)[O]']",7,V.ARBAMECCCQZCSR.DRQBAJRMFBIZMF.UGFAIRIUMAVXCW.MOFkey-v1
cifs/to23toTHFsolvated1977804,['*'],[],,
cifs/finalMOFs1961202,['[Cu][Cu]'],['[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]'],1,Cu.PHQYMDAUTAXXFZ.MOFkey-v1
cifs/toZn1withDMF238859,['[Zn][Zn]'],['[O-]C(=O)c1ccc(cc1)C(=O)[O-]'],1,Zn.KKEYFWRCBNTPAC.MOFkey-v1
cifs/fromja054913asi002,"['Cl[Ag]', 'O1OOO1', '[Ag]']","['[C]1=N[N][C]=N1', '[N]1[C]=NN=[C]1']",7,Ag.HPSLFUDXWSWXGC.MOFkey-v1
cifs/tochiralHyMn310K1506142,['[Mn]'],['[O-]C=O'],0,Mn.BDAGIHXWWSANSR.MOFkey-v1
cifs/tocompoundwithhexane1403844,"['[Zn]12[O]3456[Zn]7[O]89%101[Zn]3[O]27([Zn]48)([Zn]59)[Zn]6%10', '[Zn][O]([Zn])([Zn])[Zn]']",['CN(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],1,Zn.KKUNFVGQMDWOJV.MOFkey-v1
cifs/fromchangeSpaceg2501970083,['[Fe]'],['n1ccc(cc1)C=Cc1ccncc1'],1,Fe.MGFJDEHFNMWYBD.MOFkey-v1
cifs/toCAU131GPa,"['[Al]', '[OH]']",['[O-]C(=O)C1CCC(CC1)C(=O)[O-]'],0,Al.PXGZQGDTEZPERC.MOFkey-v1
cifs/from1a,['[Cd]'],['[O-]C(=O)c1ccc(cc1)n1ccnc1C'],0,Cd.MESQWWFGNOQOMI.MOFkey-v1
cifs/from935302,"['[Zn]12[O]3456[Zn]7[O]89%101[Zn]3[O]27([Zn]48)([Zn]59)[Zn]6%10', '[Zn][O]([Zn])([Zn])[Zn]']","['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)OC[C]COc1ccc(cc1)C(=O)[O-]']",0,Zn.FQBOIKZICWAJBY.MUBBTLZHNSNHEK.MOFkey-v1
cifs/compoundwithbenzene1403843,"['[Zn]12[O]3456[Zn]7[O]89%101[Zn]3[O]27([Zn]48)([Zn]59)[Zn]6%10', '[Zn][O]([Zn])([Zn])[Zn]']",['CN(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],1,Zn.KKUNFVGQMDWOJV.MOFkey-v1
cifs/topolymorphsofZIF41903482,['[Zn]'],"['C1=C[N]C=N1', 'C1=N[CH]C=N1']",0,Zn.AODALHUPEBREOC.MOFkey-v1
cifs/12fromMnMOF1toacetonsolvated1977803,['*'],[],,
cifs/2from91045135,['[Zn]'],['n1ncn(c1)[N][N]n1cnnc1'],0,Zn.HYKRXUIBPGRUFN.MOFkey-v1
cifs/1b15bar,['[Cd]'],['[O-]C(=O)c1ccc(cc1)n1ccnc1C'],0,Cd.MESQWWFGNOQOMI.MOFkey-v1
cifs/toic035111osi003,['[Co]'],['CC(=Cc1ccncc1)c1ccncc1'],3,Co.YANIKTAVLMOMSB.MOFkey-v1
cifs/fromDUT49Mn296K1957604,['[O][Mn][Mn][O]'],"['[O-]C(=O)C1=CC2=c3cc(ccc3=N[C]2C=C1)C(=O)[O-]', '[O-]C(=O)C1=CC=C2C(=c3cc(ccc3=N2)C(=O)[O-])[CH]1']",3,Mn.OVZFQCSDINBALY.MOFkey-v1
cifs/fromHyFe290K1506139,['[Fe]'],['[O-]C=O'],0,Fe.BDAGIHXWWSANSR.MOFkey-v1
cifs/2tocompound2924308,['[Zn]'],"['[O-]C(=O)c1ccc(cc1)C(=O)[O-]', 'n1ccc(cc1)C1C2c3ccc(C1C2c1ccncc1)cc3']",0,Zn.KKEYFWRCBNTPAC.YHLZPWSGTWJVFH.MOFkey-v1
cifs/toCuIIMOF31524653,['[O][Cu][O]'],['N1=NN=C([N]1)c1cc(C2=NN=N[N]2)c(cc1C1=NN=N[N]1)C1=NN=N[N]1'],1,Cu.BYBVSFXZSOTQIP.MOFkey-v1
cifs/ONLYinitialfor2949420,['[Zn]'],"['[O-]C(=O)c1ccc(cc1)C(=O)[O-]', 'n1cc([nH]c1)c1ccc(cc1)c1[nH]cnc1']",1,Zn.KKEYFWRCBNTPAC.POSVDPHCDPQXKI.MOFkey-v1
cifs/2from2924308Copy,['[Zn]'],"['[O-]C(=O)c1ccc(cc1)C(=O)[O-]', 'n1ccc(cc1)C1C2c3ccc(C1C2c1ccncc1)cc3']",0,Zn.KKEYFWRCBNTPAC.YHLZPWSGTWJVFH.MOFkey-v1
cifs/initial1b1016636,['[Cd]'],['[O-]C(=O)c1ccc(cc1)n1c(C)nnc1c1ccccn1'],1,Cd.QWPBIPIGHDIAJT.MOFkey-v1
cifs/fromic035111osi001,['[Co]'],['CC(=Cc1ccncc1)c1ccncc1'],3,Co.YANIKTAVLMOMSB.MOFkey-v1
cifs/to3fa1052173,['[Co][Co]'],"['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'n1ccc(cc1)c1ccncc1']",2,Co.MWVTWFVJZLCBMC.RXOHFPCZGPKIRD.MOFkey-v1
cifs/toja500530ysi003,['[Zn][Zn]'],"['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'n1ccc(cc1)c1ccncc1']",2,Zn.MWVTWFVJZLCBMC.RXOHFPCZGPKIRD.MOFkey-v1
cifs/toDUT8NipolymorphB1989708,['[Ni][Ni]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],0,Ni.RXOHFPCZGPKIRD.MOFkey-v1
cifs/ja101541ssi002,['[Cd]'],"['[O-]C(=O)[C]=[CH]', 'n1ccc(cc1)c1ccncc1']",1,Cd.MWVTWFVJZLCBMC.UORVCLMRJXCDCP.MOFkey-v1
cifs/toDUT49Co100K2014974,['[O][Co][Co][O]'],['[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0,Co.VENUPVZYXSHACQ.MOFkey-v1
cifs/fromja500530ysi003,['[Zn][Zn]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],1,Zn.RXOHFPCZGPKIRD.MOFkey-v1
